SA2_MAINCODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,33,27,62,58,16,211,11,3,13,25,25,15,8,100,3,3,3,3,5,3,3,23,86,109,159,253,257,135,51,1050
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,15,21,11,6,3,72,17,9,13,15,19,3,3,77,5,0,0,0,0,0,0,8,132,135,144,191,158,34,4,796
101021009,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,18,32,16,24,9,3,111,133,106,99,87,75,26,0,531,3,14,8,9,12,0,0,54,957,1202,1148,1091,810,185,25,5418
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,10,15,7,3,52,80,47,30,23,21,12,0,214,9,3,0,6,4,0,0,23,515,674,522,507,375,100,16,2714
101021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,34,69,126,104,89,25,457,58,36,46,60,49,23,4,275,3,4,3,3,0,0,0,18,309,522,593,764,453,187,35,2863
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,35,51,25,11,0,144,50,15,20,12,15,9,0,118,6,12,3,0,0,0,0,24,415,479,441,442,272,55,5,2109
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,26,29,26,8,92,14,12,16,14,38,8,3,103,0,0,6,0,8,4,0,19,112,142,161,237,246,106,19,1029
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,29,27,33,25,10,129,74,69,44,63,79,24,0,359,12,0,13,4,6,4,3,45,514,566,620,839,673,180,32,3415
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,17,20,55,52,49,29,213,7,5,0,17,10,5,3,53,3,0,0,0,3,0,4,6,46,70,103,172,137,101,48,684
101031016,16,9,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,23,14,5,0,0,0,0,37,29,42,73,84,82,48,15,375,106,107,74,53,71,21,3,432,15,3,10,9,4,5,0,51,1115,1029,758,825,588,192,34,4532
